crop,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
winter wheat,60.3,70.1,75.9,59.9,69,71.7,66.9,65.9,58.5,75.4,78.6,74.6,70.1,62.7,65.4,72.6,76.1,63,71.4,65.9,78,54.3,64,61.5,66.8,61.3
rye,48,49.1,48.4,59.6,50.1,59.7,57,53.7,53.5,53.8,45.6,57.2,50.8,40.3,51.2,59.6,60.2,43.6,47.6,49.9,52.8,35.5,46.6,52.4,49.5,52.2
winter barley,52.8,66.5,68.7,67.8,50,71.9,65.5,67.4,70.1,63.1,73.5,65.2,59.8,50.7,60.8,57.7,59.5,50.8,62.7,55.4,63,47.5,54.1,59.3,62.3,55.6
summer barley,53.2,61.4,56.4,52.5,49.7,60.1,57,56.8,41.5,58.3,54.6,56.6,60.9,45.8,59.4,54.8,57.9,42.7,50.7,50.7,58.2,42.9,46.4,44.1,51.3,47.1
oats,51.4,36.6,55.4,45.9,32.4,44.8,56,39.9,43.1,42.3,40.7,48.4,51,40,47.5,51.9,51.7,33.4,47.7,43.4,47.1,38.3,43.3,46.1,51.7,47.8
triticale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,64.2,70.8,49.4,59.8,50.1,77.1,40.1,62.5,61.4,63,61.5
potatoes,407.3,475.6,466,465.4,389,507.8,416.3,570.1,NA,NA,NA,NA,NA,501.2,379.5,360.2,400.8,374.5,318.2,363.2,402.4,267.7,336,365.2,437.5,309.5
sugar beet,765.2,753.9,663.8,864,563.7,761.9,570.8,773.5,749.5,681.1,861.2,701.4,699.7,735.9,622.8,687.3,590.6,596.7,578.7,623.3,613.1,446,599.9,539.7,649.4,542.6
winter rape,35,38.3,47.3,36.6,31.6,29.4,34.2,38.5,36.8,42,47.2,36.1,35,29.6,44.1,43.2,43,39.3,43.7,40.4,40.2,25.5,30.5,31.6,28.7,33.8
silage maize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.1,483.4,449.6,470.5,431.1,446,447.6,355.6,455.7,443.3,456.3,444.1
